age_cat,stab,variable,value
20,GA,female,355361
20,HI,female,36037
20,IA,female,103932
20,ID,female,58992
20,IL,female,425981
20,IN,female,236058
20,KS,female,96919
20,KY,female,151519
20,LA,female,153045
20,MA,female,230951
20,MD,female,197054
20,ME,female,39213
20,MI,female,337717
20,MN,female,179461
20,MO,female,205822
20,MS,female,112770
20,MT,female,28416
20,NC,female,326900
20,ND,female,24887
20,NE,female,64003
20,NH,female,45431
20,NJ,female,272616
20,NM,female,70322
20,NV,female,84317
20,NY,female,649434
20,OH,female,372015
20,OK,female,135123
20,OR,female,123993
20,PA,female,428228
20,RI,female,37826
20,SC,female,158057
20,SD,female,28258
20,TN,female,219206
20,TX,female,951043
20,UT,female,114960
20,VA,female,277057
20,VT,female,23120
20,WA,female,217303
20,WI,female,188111
20,WV,female,57022
20,WY,female,19872
25,AK,female,27856
25,AL,female,171918
25,AR,female,103391
25,AZ,female,229293
25,CA,female,1420725
25,CO,female,188366
25,CT,female,117101
25,DC,female,34676
25,DE,female,31723
25,FL,female,625513
25,GA,female,356794
25,HI,female,48747
25,IA,female,108252
25,ID,female,57262
25,IL,female,442982
25,IN,female,233073
25,KS,female,96562
25,KY,female,143057
25,LA,female,167361
25,MA,female,255019
25,MD,female,210686
25,ME,female,39757
25,MI,female,341498
25,MN,female,177383
25,MO,female,209390
25,MS,female,101638
25,MT,female,34680
25,NC,female,338064
25,ND,female,31390
25,NE,female,68355
25,NH,female,45295
25,NJ,female,290168
25,NM,female,69389
25,NV,female,91253
25,NY,female,729105
25,OH,female,392189
25,OK,female,135025
25,OR,female,130876
25,PA,female,415206
25,RI,female,41453
25,SC,female,180000
25,SD,female,30238
25,TN,female,221167
25,TX,female,994261
25,UT,female,125348
25,VA,female,289249
25,VT,female,19390
25,WA,female,242975
25,WI,female,187721
25,WV,female,55238
25,WY,female,16855
30,AK,female,30419
30,AL,female,164854
30,AR,female,98804
30,AZ,female,225449
30,CA,female,1443005
30,CO,female,196903
30,CT,female,107908
30,DC,female,42297
30,DE,female,31987
30,FL,female,659454
30,GA,female,349218
30,HI,female,48906
30,IA,female,97350
30,ID,female,51892
30,IL,female,433972
30,IN,female,207700
30,KS,female,92872
30,KY,female,135216
30,LA,female,176350
